object_id,rounds_total,last_funding_round_type,number_of_participants
c:1,3.0,series-c+,9.0
c:10,,,
c:100,,,
c:10000,,,
c:10001,,,
c:10002,,,
c:10003,,,
c:100042,,,
c:10005,,,
c:100062,,,
c:100068,,,
c:10008,,,
c:10009,,,
c:1001,1.0,series-a,3.0
c:10010,,,
c:10011,,,
c:10012,,,
c:10013,,,
c:10014,1.0,angel,1.0
c:10015,5.0,series-c+,19.0
c:100155,3.0,series-b,5.0
c:10016,,,
c:100174,,,
c:100178,,,
c:10018,3.0,series-c+,13.0
c:100180,,,
c:100189,1.0,angel,2.0
c:10020,1.0,,
c:10021,1.0,angel,1.0
c:100211,,,
c:100212,,,
c:10022,3.0,,
c:100228,1.0,angel,0.0
c:10023,,,
c:100230,,,
c:100231,,,
c:100238,2.0,venture,1.0
c:10024,,,
c:100243,2.0,venture,6.0
c:10025,,,
c:100253,1.0,venture,0.0
c:10026,2.0,angel,0.0
c:100265,,,
c:100268,,,
c:10027,,,
c:100271,1.0,series-a,1.0
c:10028,,,
c:10029,,,
c:1003,1.0,series-a,1.0
c:100301,,,
c:100317,1.0,venture,1.0
c:100331,1.0,other,1.0
c:10034,,,
c:10037,,,
c:100379,1.0,venture,1.0
c:10039,,,
c:1004,,,
c:10040,,,
c:10041,,,
c:10042,,,
c:10044,,,
c:100442,,,
c:10048,,,
c:10049,,,
c:10050,,,
c:10053,,,
c:10054,7.0,venture,27.0
c:10057,,,
c:100570,,,
c:10058,,,
c:100589,,,
c:10059,,,
c:1006,1.0,angel,1.0
c:10060,,,
c:100607,1.0,angel,1.0
c:10062,1.0,angel,1.0
c:100634,,,
c:10065,2.0,venture,0.0
c:10066,,,
c:10067,,,
c:10069,3.0,private-equity,10.0
c:1007,1.0,series-a,6.0
c:100704,,,
c:10071,1.0,,
c:100716,,,
c:100719,,,
c:10072,,,
c:10073,,,
c:100734,,,
c:100735,,,
c:100738,,,
c:10074,,,
c:100742,,,
c:10075,1.0,angel,0.0
c:100756,1.0,venture,1.0
c:10076,1.0,angel,4.0
c:10077,,,
c:100777,,,
c:10078,,,
c:100783,,,
c:1008,,,
c:10081,,,
c:100814,,,
c:10082,1.0,series-a,4.0
c:100829,,,
c:10083,,,
c:10084,,,
c:100840,,,
c:100841,,,
c:100842,,,
c:100844,4.0,venture,4.0
c:10085,1.0,,
c:10087,,,
c:100873,,,
c:10088,,,
c:10089,,,
c:100898,,,
c:1009,,,
c:10091,,,
c:100915,,,
c:10092,1.0,angel,0.0
c:100926,,,
c:10093,1.0,angel,0.0
c:100936,1.0,,
c:100937,,,
c:100938,3.0,series-a,2.0
c:10094,,,
c:10095,,,
c:100968,,,
c:10097,,,
c:10098,1.0,angel,0.0
c:10099,,,
c:100991,,,
c:101,1.0,series-a,1.0
c:1010,5.0,series-c+,14.0
c:10102,,,
c:10104,,,
c:10105,,,
c:101052,2.0,angel,8.0
c:10106,,,
c:101062,,,
c:101073,,,
c:10108,,,
c:10109,,,
c:101090,,,
c:101094,2.0,other,1.0
c:101102,1.0,angel,0.0
c:10111,2.0,series-b,6.0
c:101113,,,
c:10114,,,
c:101149,,,
c:10116,1.0,venture,1.0
c:10117,,,
c:10118,,,
c:10119,32.0,,
c:10120,2.0,series-a,3.0
c:101201,,,
c:101202,,,
c:101203,,,
c:10122,,,
c:10123,,,
c:10125,1.0,angel,0.0
c:10126,,,
c:101269,,,
c:10127,,,
c:101271,1.0,angel,0.0
c:10128,,,
c:10129,2.0,angel,1.0
c:101290,,,
c:10131,,,
c:101312,3.0,series-a,6.0
c:101317,3.0,angel,18.0
c:10132,1.0,series-a,2.0
c:101324,,,
c:10133,,,
c:101335,,,
c:10134,,,
c:101340,1.0,angel,0.0
c:101347,,,
c:101348,,,
c:101349,,,
c:10137,3.0,angel,18.0
c:10138,,,
c:101381,,,
c:10139,2.0,series-a,1.0
c:101392,,,
c:101393,,,
c:101394,,,
c:101395,,,
c:1014,,,
c:10140,,,
c:10142,,,
c:101431,,,
c:101436,,,
c:101448,,,
c:101449,1.0,venture,1.0
c:10145,,,
c:10146,1.0,angel,0.0
c:101463,1.0,venture,1.0
c:10147,,,
c:101472,1.0,series-a,1.0
c:10148,,,
c:101481,1.0,series-a,4.0
c:101489,,,
c:10149,,,
c:101496,,,
c:10150,,,
c:101503,,,
c:101511,1.0,series-b,3.0
c:101512,,,
c:101519,1.0,venture,0.0
c:10152,,,
c:101527,1.0,venture,1.0
c:10153,1.0,angel,1.0
c:101530,1.0,venture,1.0
c:101535,1.0,series-b,2.0
c:10154,,,
c:10155,1.0,angel,6.0
c:101560,,,
c:101571,,,
c:101572,,,
c:10158,3.0,private-equity,2.0
c:10159,3.0,series-c+,6.0
c:10160,,,
c:10161,5.0,series-c+,11.0
c:101622,,,
c:10163,,,
c:10164,2.0,series-a,1.0
c:101643,,,
c:10165,,,
c:101651,,,
c:10166,1.0,,
c:10167,,,
c:101679,,,
c:10168,1.0,,
c:10169,1.0,angel,1.0
c:1017,1.0,venture,0.0
c:10170,1.0,venture,10.0
c:101727,,,
c:10174,1.0,venture,0.0
c:10175,1.0,angel,0.0
c:101758,1.0,,
c:101759,1.0,series-a,1.0
c:10176,5.0,series-c+,26.0
c:101778,,,
c:101779,,,
c:10178,,,
c:10179,3.0,private-equity,6.0
c:101797,,,
c:1018,,,
c:10180,1.0,angel,0.0
c:101808,,,
c:101809,,,
c:101810,,,
c:101824,1.0,,
c:101829,,,
c:10183,,,
c:101830,,,
c:101837,1.0,angel,1.0
c:101838,,,
c:10184,2.0,venture,2.0
c:101846,,,
c:10185,,,
c:101851,,,
c:101859,1.0,angel,0.0
c:10186,,,
c:10187,,,
c:10188,,,
c:101880,1.0,angel,1.0
c:101882,,,
c:10189,,,
c:101893,2.0,series-b,5.0
c:1019,4.0,venture,14.0
c:101903,,,
c:101908,,,
c:101909,1.0,,
c:10191,,,
c:101910,,,
c:101916,,,
c:10192,,,
c:101920,,,
c:101927,,,
c:101928,,,
c:10193,,,
c:101934,,,
c:101936,,,
c:101938,,,
c:10194,1.0,venture,0.0
c:101944,,,
c:101947,,,
c:10195,,,
c:101955,,,
c:10196,,,
c:10197,2.0,series-c+,5.0
c:101973,,,
c:10198,,,
c:10199,2.0,venture,1.0
c:1020,3.0,series-c+,5.0
c:10200,5.0,series-c+,11.0
c:102002,,,
c:102006,,,
c:102014,1.0,,
c:102015,1.0,,
c:10202,,,
c:10203,,,
c:10204,2.0,venture,3.0
c:102044,,,
c:102045,,,
c:102046,,,
c:10205,,,
c:102056,,,
c:102057,,,
c:102060,,,
c:102068,,,
c:102082,,,
c:10209,,,
c:102098,,,
c:1021,1.0,angel,2.0
c:102110,,,
c:102134,,,
c:10214,,,
c:102140,,,
c:10215,,,
c:102155,,,
c:102156,,,
c:10216,,,
c:10218,,,
c:102181,,,
c:102184,,,
c:102185,,,
c:102188,,,
c:102196,,,
c:1022,1.0,series-a,3.0
c:10220,,,
c:102201,,,
c:102204,,,
c:10221,,,
c:10222,1.0,,
c:102226,,,
c:102228,,,
c:10223,,,
c:10224,,,
c:10226,1.0,angel,2.0
c:102262,,,
c:10227,,,
c:10228,,,
c:102286,,,
c:10229,,,
c:102294,2.0,venture,0.0
c:102295,,,
c:102299,,,
c:10230,,,
c:102300,,,
c:10231,,,
c:102311,,,
c:10232,,,
c:10233,,,
c:10234,,,
c:10236,,,
c:10237,,,
c:10238,,,
c:102396,1.0,angel,2.0
c:1024,,,
c:10240,,,
c:102404,,,
c:102406,,,
c:102407,,,
c:102408,,,
c:102409,,,
c:10241,1.0,series-a,1.0
c:102413,1.0,series-a,0.0
c:102425,3.0,venture,0.0
c:10243,,,
c:10244,,,
c:102447,2.0,series-b,8.0
c:102449,2.0,series-a,1.0
c:10246,,,
c:102468,1.0,venture,1.0
c:10247,,,
c:10248,,,
c:10249,,,
c:102491,2.0,venture,1.0
