,degree_type,,,,
2:01,0,,,,
2:02,0,,,,
1,0,,,,
2.1,0,,,,
2.2,0,,,,
3,0,,,,
4,0,,,,
7,0,,,,
10,0,,,,
360,0,,,,
2004,0,,,,
2008,0,,,,
2013,0,,,,
Sep-45,0,,,,
-,0,,,,
!st Class Honors,0,,,,
"""Mini-MBA""",0,,,,
(2Years) UniversityLife,0,,,,
(B.A.J) Bachelor's of Art in Jou,2,,,,
(expected) 2014,2,,,,
(Hons) BSc.,2,,,,
(In Progress),0,,,,
(incomplete),0,,,,
"(MSc), Finance, General",3,,,,
(PHR) certification,0,,,,
"(Syracuse, NY)",0,,,,
", Information Technology",0,,,,
.,0,,,,
.5 MBA,0,,,,
"??, ??",0,,,,
???,0,,,,
1 year diploma,0,,,,
1 Year Visiting Student,0,,,,
1. Fed. Exams,0,,,,
1. Staatsexamen,0,,,,
1/2 MBA,0,,,,
1:1 First Class Honors,0,,,,
12th,0,,,,
12th Std,0,,,,
13 A-C GCSE's,0,,,,
1-4 Grade,1,,,,
14N1,1,,,,
18c,1,,,,
1990 to 1993,1,,,,
1st BSc,2,,,,
1st BSc (Hons),2,,,,
1st Class,0,,,,
1st Class BA Honours Degree,2,,,,
1st Class BA Hons,2,,,,
1st Class BSc Hons,2,,,,
1st Class Honours,2,,,,
1st Class Hons,0,,,,
1st Class Hons Chemical Engineer,0,,,,
1st Class MEng,0,,,,
1-Year Program,0,,,,
2 BSc's,2,,,,
2 year diploma,0,,,,
2 years College,0,,,,
2. Fed. Exams,0,,,,
2. Staatsexamen,0,,,,
2.1 BA Honours,2,,,,
2.1 BA Hons,2,,,,
2.1 Ba Hons,2,,,,
2:1 BA (Hons),2,,,,
2:1 BA(Hons),2,,,,
2:1 BSC Hons,2,,,,
2:1 Business,2,,,,
2:1 MEng,3,,,,
2008 MBA,3,,,,
2012-2013,0,,,,
2D Design,0,,,,
2nd class honours,0,,,,
2nd Degree,2,,,,
2nd Upper Class (hons),1,,,,
2-term exchange,0,,,,
2yr Certification,0,,,,
3 eme cycle Banque et Finance DE,0,,,,
3 years,0,,,,
3 years Polytechnic Diploma,2,,,,
3 yr Diploma,0,,,,
3 yrs in PHD program,3,,,,
3yr diploma,0,,,,
4 A levels,2,,,,
4 year Bachelor of Science,2,,,,
