object_id,last_funding_round_type,funding_rounds_count,number_of_participants
c:1,series-c+,3,9
c:1001,series-a,1,3
c:10014,angel,1,1
c:10015,series-c+,5,19
c:100155,series-b,3,5
c:10018,series-c+,3,13
c:100189,angel,1,2
c:10021,angel,1,1
c:100228,angel,1,0
c:100238,venture,2,1
c:100243,venture,2,6
c:100253,venture,1,0
c:10026,angel,2,0
c:100271,series-a,1,1
c:1003,series-a,1,1
c:100317,venture,1,1
c:100331,other,1,1
c:100379,venture,1,1
c:10054,venture,7,27
c:1006,angel,1,1
c:100607,angel,1,1
c:10062,angel,1,1
c:10065,venture,2,0
c:10069,private-equity,3,10
c:1007,series-a,1,6
c:10075,angel,1,0
c:100756,venture,1,1
c:10076,angel,1,4
c:10082,series-a,1,4
c:100844,venture,4,4
c:10092,angel,1,0
c:10093,angel,1,0
c:100938,series-a,3,2
c:10098,angel,1,0
c:101,series-a,1,1
c:1010,series-c+,5,14
c:101052,angel,2,8
c:101094,other,2,1
c:101102,angel,1,0
c:10111,series-b,2,6
c:10116,venture,1,1
c:10120,series-a,2,3
c:10125,angel,1,0
c:101271,angel,1,0
c:10129,angel,2,1
c:101312,series-a,3,6
c:101317,angel,3,18
c:10132,series-a,1,2
c:101340,angel,1,0
c:10137,angel,3,18
c:10139,series-a,2,1
c:101449,venture,1,1
c:10146,angel,1,0
c:101463,venture,1,1
c:101472,series-a,1,1
c:101481,series-a,1,4
c:101511,series-b,1,3
c:101519,venture,1,0
c:101527,venture,1,1
c:10153,angel,1,1
c:101530,venture,1,1
c:101535,series-b,1,2
c:10155,angel,1,6
c:10158,private-equity,3,2
c:10159,series-c+,3,6
c:10161,series-c+,5,11
c:10164,series-a,2,1
c:10169,angel,1,1
c:1017,venture,1,0
c:10170,venture,1,10
c:10174,venture,1,0
c:10175,angel,1,0
c:101759,series-a,1,1
c:10176,series-c+,5,26
c:10179,private-equity,3,6
c:10180,angel,1,0
c:101837,angel,1,1
c:10184,venture,2,2
c:101859,angel,1,0
c:101880,angel,1,1
c:101893,series-b,2,5
c:1019,venture,4,14
c:10194,venture,1,0
c:10197,series-c+,2,5
c:10199,venture,2,1
c:1020,series-c+,3,5
c:10200,series-c+,5,11
c:10204,venture,2,3
c:1021,angel,1,2
c:1022,series-a,1,3
c:10226,angel,1,2
c:102294,venture,2,0
c:102396,angel,1,2
c:10241,series-a,1,1
c:102413,series-a,1,0
c:102425,venture,3,0
c:102447,series-b,2,8
c:102449,series-a,2,1
c:102468,venture,1,1
c:102491,venture,2,1
c:102497,venture,2,2
c:10252,angel,1,8
c:10253,other,6,8
c:10256,series-a,3,4
c:1027,series-a,1,7
c:10272,venture,7,28
c:10273,angel,1,1
c:102774,angel,2,4
c:102783,angel,1,0
c:1028,angel,1,0
c:102836,series-c+,4,14
c:102849,other,1,0
c:102867,angel,1,5
c:102898,angel,1,13
c:102922,angel,1,5
c:102933,angel,1,1
c:10295,venture,2,1
c:103,venture,4,5
c:1030,angel,1,1
c:103016,venture,1,2
c:10308,angel,1,0
c:10311,series-a,1,0
