,object_id,address1,address2,city,zip_code,state_code,country_code,latitude,longitude
0,c:1,710 - 2nd Avenue,Suite 1100,Seattle,98104,WA,USA,47.603122,-122.333253
1,c:10,"8536 National Blvd, Suite A",,Culver City,90232,CA,USA,34.025958,-118.379768
2,c:100,1855 South Grant Street,3rd Floor,San Mateo,94402,CA,USA,37.553385,-122.302149
3,c:10005,Five Penn Plaza,15th Floor,New York,10001,NY,USA,0.0,0.0
4,c:10009,1025 Don Diego Ave,,Santa Fe,87505,NM,USA,35.6746751,-105.9484344
5,c:1001,333 W. Evelyn Ave,,Mountain View,94041,CA,USA,37.39248,-122.072612
6,c:10011,PO Box 1238,,Julian,92036-1238,CA,USA,32.922261400000004,-116.3485586
7,c:10014,102 University Ave,,Palo Alto,94301,CA,USA,37.448598,-122.158497
8,c:10015,150 Spear St,,San Francisco,94105-1503,CA,USA,0.0,0.0
9,c:100155,13915 Burnet Road,Suite 420,Austin,78728,TX,USA,0.0,0.0
10,c:10018,301 Howard Street,Suite 1800,San Francisco,94105,CA,USA,37.796843,-122.400346
11,c:100180,,,San Francisco,0,CA,USA,0.0,0.0
12,c:100212,201 Mission,30th Floor,San Francisco,94105,NY,USA,37.7890183,-122.3915063
13,c:10022,1322 Manning Parkway,,Powell,43065,OH,USA,30.282906,-97.742385
14,c:100228,,,0,07083,NJ,USA,0.0,0.0
15,c:10023,,,Chicago,60657,IL,USA,41.94038,-87.65318
16,c:100231,P.O. Box 5114,,Pasadena,91117,CA,USA,0.0,0.0
17,c:100238,,375 West Street,West Bridgewater,02379,MA,USA,42.0189894,-71.00782149999998
18,c:100243,3350 Rogerdale,Suite 200,Houston,77042,TX,USA,0.0,0.0
19,c:10025,17232 Lancaster Hwy,Suite 102,Charlotte,28277,NC,USA,35.01647,-80.852317
20,c:100271,1800 - 112th AVE NE,Suite 260-E,Bellevue,98004,WA,USA,0.0,0.0
21,c:10029,,,San Francisco,94105,CA,USA,37.7881481,-122.3943387
22,c:1003,1085 Mission St,,San Francisco,94103-2812,CA,USA,37.775196,-122.419204
23,c:100301,PO Box 7681,,Wilton,06897,CT,USA,0.0,0.0
24,c:100317,10981 Decatur Road,,Philadelphia,19154,PA,USA,0.0,0.0
25,c:100331,360 Merrimack Street,"Building 9, 2nd Floor",Lawrence,01843,MA,USA,0.0,0.0
26,c:100379,1750 112th Ave NE,Suite C101,Bellevue,98004,WA,USA,0.0,0.0
27,c:1004,14419 Greenwood Avenue N,,Seattle,98133,WA,USA,47.733603,-122.355579
28,c:10040,One Harbour Place,,Portsmouth,03801,NH,USA,43.077741,-70.754012
29,c:10042,621 S. Blair Ave.,,Royal Oak,48067,MI,USA,42.484985,-83.128937
30,c:10044,128 Warren Street,,Lowell,01852,MA,USA,42.64245,-71.305778
31,c:100442,21 Holly Road,,Iselin,08830,NJ,USA,0.0,0.0
32,c:10049,277 West Main Street,,Niantic,06357,CT,USA,41.313408,-72.25386400000002
33,c:10050,10 Northern Blvd.,Unit 2,Amherst,03031,NH,USA,42.8079023,-71.5827811
34,c:10054,155 Seaport Blvd,8th Floor,Boston,02210,MA,USA,42.368633,-71.075305
35,c:10058,p.o. box 6646,,Chandler,85246,AZ,USA,33.3176,-111.8566
36,c:1006,,,0,10021,NY,USA,0.0,0.0
37,c:100607,169 11th Street,,San Francisco,94103,CA,USA,0.0,0.0
38,c:10062,PO BOX 10101,,Oakland,94610,CA,USA,37.8104485,-122.2398636
39,c:100634,140 East Ridgewood Avenue,Suite 415 ST,Paramus,07652,NJ,USA,0.0,0.0
40,c:10065,,,Westborough,0,MA,USA,42.309399,-71.436358
41,c:10066,28 Liberty Ship Way,Suite 2800,Sausalito,94965,CA,USA,37.864435,-122.490586
42,c:10069,114 Sansome Street,Suite 1000,San Francisco,94104,CA,USA,0.0,0.0
43,c:1007,400 2nd Street,Suite 350,San Francisco,94107,CA,USA,37.783898,-122.395234
44,c:10071,11 West 42nd Street,15th Floor,New York,10036,NY,USA,40.7543,-73.981847
45,c:100735,1639 Medical Center Parkway,Suite 305,Murfreesboro,37129,TN,USA,0.0,0.0
46,c:100738,215 Greencastle Road,,Tyrone,30290,GA,USA,0.0,0.0
47,c:10075,644 Menlo #201,,Menlo Park,94025,CA,USA,37.452011,-122.182824
48,c:10078,1611 Telegraph Avenue,Suite 920,Oakland,94612,CA,USA,37.806425,-122.270653
49,c:100783,7545 Centurion Pkwy,Suite 106,Jacksonville,32256,FL,USA,0.0,0.0
50,c:1008,,,0,0,0,USA,37.09024,-95.712891
51,c:10081,1640 Airport Rd,Suite 115,Kennesaw,30144,GA,USA,34.011396000000005,-84.597071
52,c:10082,440 North Wolfe Road,,Sunnyvale,94085,CA,USA,37.384239,-122.012475
53,c:10083,600 Clipper Drive,Suite 100,Belmont,94002-4119,CA,USA,0.0,0.0
54,c:100840,6441 Lyons Road,,Coconut Creek,33073,FL,USA,0.0,0.0
55,c:100844,70 Blanchard Road,,Burlington,01803,MA,USA,0.0,0.0
56,c:10085,3000 Hanover Street,,Palo Alto,94304-1185,CA,USA,37.41320379999999,-122.1460819
57,c:10087,2235 Octavia Street,,San Francisco,94109,CA,USA,37.79289,-122.428193
58,c:100873,,,Ogden,0,UT,USA,0.0,0.0
59,c:100898,363 W. Big Beaver Rd.,STE 400,Troy,48084,MI,USA,0.0,0.0
60,c:10091,1350 Abbot Kinney,Suite 203,Venice,90291,CA,USA,33.99073,-118.46635
61,c:100915,555 Bryant Street #361,,Palo Alto,94301,CA,USA,0.0,0.0
62,c:10092,,,Mountain View,94041,CA,USA,37.386773,-122.075222
63,c:100926,,,Carlsbad,92011,CA,USA,0.0,0.0
64,c:10093,1565 Reliance Way,,Fremont,94539,CA,USA,37.501065,-121.933191
65,c:10095,,,West Palm Beach,0,FL,USA,26.72868,-80.099946
66,c:10098,406 West Church Avenue,,Knoxville,37902,TN,USA,35.963029,-83.918392
67,c:10099,"5715 Will Clayton,",#2837,Humble,77338,TX,USA,29.985528,-95.3082988
68,c:1010,25 Thomson Place,,Boston,0,MA,USA,42.354022,-71.140762
69,c:10104,,,San Diego,0,CA,USA,32.718834,-117.163841
70,c:10105,,,San Francisco,94123,CA,USA,37.80204000000001,-122.438231
71,c:101052,1552 N Technology Way,,Orem,84057,UT,USA,0.0,0.0
72,c:10106,3 Times Square,,New York,10036,NY,USA,40.7564318,-73.9871847
73,c:101062,1155 Bloomfield Avenue,,Clifton,07012,NJ,USA,0.0,0.0
74,c:10109,474 Bryant Street,,San Francisco,94107,CA,USA,37.459112,-122.142326
75,c:101090,314 Covered Bridge Road,,Cherry Hill,08034,NJ,USA,0.0,0.0
76,c:101094,,601 N. LAMAR BLVD. 300,Austin,78703,TX,USA,0.0,0.0
