object_id,entity_type,parent_id,name,category_code,status,start_dates,end_dates,time_elapsed_months,country_code,state_code,city,region,investment_rounds,invested_companies,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships
c:1,Company,,Wetpaint,web,operating,2005-10-01,2008-05-19,32.0,USA,WA,Seattle,Seattle,0,0,3,39750000.0,2010-09-05,2013-09-18,5,17
c:1001,Company,,FriendFeed,web,acquired,2007-10-01,2008-02-26,5.0,USA,CA,Mountain View,SF Bay,0,0,1,5000000.0,2008-05-01,2012-09-13,3,14
c:10014,Company,,Mobclix,mobile,acquired,2008-03-01,2008-09-01,6.0,USA,CA,Palo Alto,SF Bay,0,0,1,0.0,1995-03-01,2012-09-18,4,9
c:10015,Company,,Fitbit,health,operating,2007-10-01,2013-08-13,70.0,USA,CA,San Francisco,SF Bay,0,0,5,68069200.0,,,0,14
c:100155,Company,,MTPV,cleantech,operating,2003-01-01,2012-01-26,109.0,USA,TX,Austin,Austin,0,0,3,10125293.0,2010-01-01,2010-01-01,1,6
c:10018,Company,,Demandbase,analytics,operating,2006-01-01,2013-03-28,87.0,USA,CA,San Francisco,SF Bay,0,0,3,33000000.0,2010-05-18,2013-03-01,3,19
c:100189,Company,,Locatrix Communications,mobile,operating,2003-11-01,2003-11-01,0.0,AUS,,Brisbane,SF Bay,0,0,1,250000.0,2007-11-01,2007-11-01,1,2
c:100228,Company,,iHireHelp,education,operating,2010-10-01,2011-04-16,6.0,USA,NJ,,New Jersey - Other,0,0,1,100000.0,2010-10-01,2010-10-01,1,0
c:100238,Company,,Cardiosolutions,medical,operating,2006-01-01,2012-07-10,78.0,USA,MA,West Bridgewater,West Bridgewater,0,0,2,11300000.0,,,0,2
c:100243,Company,,DeepFlex,manufacturing,operating,2004-01-01,2013-04-08,111.0,USA,TX,Houston,Houston,0,0,2,0.0,,,0,4
c:10026,Company,,Wevod,games_video,operating,2006-05-04,2007-10-01,17.0,FRA,,Paris,Paris,0,0,2,414840.0,,,0,2
c:100271,Company,,Balance Financial,enterprise,operating,2004-01-01,2011-09-06,92.0,USA,WA,Bellevue,Seattle,0,0,1,1500000.0,2010-01-01,2010-01-01,1,8
c:1003,Company,,Wikinvest,web,operating,2006-01-01,2007-10-01,21.0,USA,CA,San Francisco,SF Bay,0,0,1,2500000.0,2010-07-01,2012-05-01,2,7
